game,session,track,car,lap,start,end,time,length,valid
iRacing,1674197074,bathurst,BMW M4 GT4,7,2023-01-19 23:57:52.211505+00:00,2023-01-20 00:00:04.378963+00:00,132.1805,6138,True
iRacing,1673760562,bathurst,BMW M4 GT4,11,2023-01-14 22:54:34.860019+00:00,2023-01-14 22:56:47.087116+00:00,132.238571,6139,True
iRacing,1674197074,bathurst,BMW M4 GT4,8,2023-01-20 00:00:04.398162+00:00,2023-01-20 00:02:16.658407+00:00,132.2879,6139,True
iRacing,1674112591,talladega,Chevrolet Silverado,44,2023-01-19 03:20:23.343444+00:00,2023-01-19 03:21:15.188558+00:00,51.8612671,4269,True
iRacing,1674112591,talladega,Chevrolet Silverado,70,2023-01-19 03:59:45.765135+00:00,2023-01-19 04:00:37.761717+00:00,51.9886,4267,True
iRacing,1673248542,talladega,Chevrolet Silverado,65,2023-01-09 03:29:05.588859+00:00,2023-01-09 03:29:57.576991+00:00,52.0144653,4268,True
iRacing,1673804711,spa low,Mazda MX-5 Cup,6,2023-01-15 18:59:57.037882+00:00,2023-01-15 19:02:46.524357+00:00,169.524139,6929,True
iRacing,1673799900,spa low,Mazda MX-5 Cup,8,2023-01-15 17:58:49.421045+00:00,2023-01-15 18:01:39.129802+00:00,169.73941,6929,True
iRacing,1673714710,spa low,Mazda MX-5 Cup,9,2023-01-14 17:09:11.143749+00:00,2023-01-14 17:12:01.484814+00:00,170.353241,6929,True
iRacing,1673264013,lincoln,Dirt 358 Modified,1,2023-01-09 05:34:47.588896+00:00,2023-01-09 05:35:03.530351+00:00,15.9699669,569,True
iRacing,1673253522,lincoln,Dirt 358 Modified,3,2023-01-09 02:39:19.936402+00:00,2023-01-09 02:39:35.892432+00:00,15.9722,569,True
iRacing,1673253219,lincoln,Dirt 358 Modified,1,2023-01-09 02:34:59.798575+00:00,2023-01-09 02:35:15.776925+00:00,16.0103,569,True
iRacing,1670609176,okayama short,Dallara F312 F3,20,2022-12-09 18:23:42.648143+00:00,2022-12-09 18:24:32.712995+00:00,50.0681,1930,True
iRacing,1670609176,okayama short,Dallara F312 F3,11,2022-12-09 18:16:03.975414+00:00,2022-12-09 18:16:54.259333+00:00,50.2991,1928,True
iRacing,1670609176,okayama short,Dallara F312 F3,10,2022-12-09 18:15:12.799860+00:00,2022-12-09 18:16:03.960474+00:00,51.1823654,1929,True
iRacing,1670226294,lagunaseca,Hyundai Elantra N TC,3,2022-12-04 23:51:28.745389+00:00,2022-12-04 23:53:03.915101+00:00,95.23297,3569,True
iRacing,1670226294,lagunaseca,Hyundai Elantra N TC,2,2022-12-04 23:49:52.314175+00:00,2022-12-04 23:51:28.704012+00:00,96.41807,3570,True
iRacing,1673683316,california oval,Chevrolet Silverado,4,2023-01-14 03:04:10.265105+00:00,2023-01-14 03:04:51.391451+00:00,41.16033,3217,True
iRacing,1673849570,california oval,Chevrolet Silverado,9,2023-01-16 01:19:42.304176+00:00,2023-01-16 01:20:23.445369+00:00,41.1806335,3217,True
iRacing,1673849570,california oval,Chevrolet Silverado,18,2023-01-16 01:26:58.463941+00:00,2023-01-16 01:27:39.619287+00:00,41.1898346,3219,True
iRacing,1670238139,spa up,Mercedes W12,1,2022-12-05 06:05:44.137256+00:00,2022-12-05 06:07:26.885396+00:00,102.776634,6927,True
iRacing,1670238752,spa up,Mercedes W12,15,2022-12-05 06:39:31.967841+00:00,2022-12-05 06:41:15.171199+00:00,103.2187,6929,True
iRacing,1670238139,spa up,Mercedes W12,2,2022-12-05 06:07:26.905466+00:00,2022-12-05 06:09:10.424114+00:00,103.518967,6928,True
iRacing,1673701132,barcelona gp,iRacing Formula IR-04,7,2023-01-14 05:09:54.965533+00:00,2023-01-14 05:11:41.288476+00:00,106.3418,4568,True
iRacing,1673700503,barcelona gp,iRacing Formula IR-04,2,2023-01-14 04:52:18.820999+00:00,2023-01-14 04:54:05.443570+00:00,106.637436,4569,True
iRacing,1673701132,barcelona gp,iRacing Formula IR-04,4,2023-01-14 05:04:26.503575+00:00,2023-01-14 05:06:13.203133+00:00,106.72393,4568,True
iRacing,1673813015,oulton international,Mazda MX-5 Cup,2,2023-01-15 20:07:37.524721+00:00,2023-01-15 20:09:31.134760+00:00,113.616768,4289,True
iRacing,1673813015,oulton international,Mazda MX-5 Cup,1,2023-01-15 20:05:43.808938+00:00,2023-01-15 20:07:37.524257+00:00,113.693069,4288,True
iRacing,1673812350,oulton international,Mazda MX-5 Cup,2,2023-01-15 19:57:42.470182+00:00,2023-01-15 19:59:36.556808+00:00,114.1038,4288,True
iRacing,1670855331,virginia full,Porsche 911 GT3 Cup (992),4,2022-12-12 15:37:18.236671+00:00,2022-12-12 15:39:21.250171+00:00,123.0299,5219,True
iRacing,1670871246,virginia full,Porsche 911 GT3 Cup (992),1,2022-12-12 19:54:10.673084+00:00,2022-12-12 19:56:27.000239+00:00,124.070915,5219,True
iRacing,1670854716,virginia full,Porsche 911 GT3 Cup (992),2,2022-12-12 15:22:56.342157+00:00,2022-12-12 15:25:05.719299+00:00,129.391235,5219,True
iRacing,1674753024,southernnational,Modified - SK,28,2023-01-26 18:18:20.590009+00:00,2023-01-26 18:18:34.843673+00:00,14.3156338,569,True
iRacing,1674745881,southernnational,Modified - SK,9,2023-01-26 16:14:16.908930+00:00,2023-01-26 16:14:31.213537+00:00,14.3653669,569,True
iRacing,1674753024,southernnational,Modified - SK,30,2023-01-26 18:18:49.363494+00:00,2023-01-26 18:19:03.721952+00:00,14.3779,569,True
iRacing,1674193015,twinring fullrc,Formula Renault 3.5,5,2023-01-20 00:44:17.034491+00:00,2023-01-20 00:45:58.986483+00:00,101.9675,4749,True
iRacing,1672393492,lagunaseca,Ferrari 488 GT3 Evo 2020,1,2022-12-30 10:50:46.311086+00:00,2022-12-30 10:52:10.477025+00:00,84.1860657,3570,True
iRacing,1672392548,lagunaseca,Ferrari 488 GT3 Evo 2020,8,2022-12-30 10:44:14.913488+00:00,2022-12-30 10:45:39.394753+00:00,84.51563,3570,True
iRacing,1672394212,lagunaseca,Ferrari 488 GT3 Evo 2020,4,2022-12-30 11:05:21.630084+00:00,2022-12-30 11:06:46.208885+00:00,84.6123657,3569,True
iRacing,1674790270,lakeland dirt,Street Stock,1,2023-01-26 19:31:56.154542+00:00,2023-01-26 19:32:23.075649+00:00,26.9500656,969,True
iRacing,1674790865,lakeland dirt,Street Stock,4,2023-01-26 19:42:33.066191+00:00,2023-01-26 19:43:00.004898+00:00,26.9721,969,True
iRacing,1674790416,lakeland dirt,Street Stock,1,2023-01-26 19:34:15.009839+00:00,2023-01-26 19:34:41.975316+00:00,26.9749,968,True
iRacing,1674826199,rudskogen,Mazda MX-5 Cup,6,2023-01-27 14:47:50.394945+00:00,2023-01-27 14:49:25.995143+00:00,95.6183,3149,True
iRacing,1674826199,rudskogen,Mazda MX-5 Cup,3,2023-01-27 14:42:54.954585+00:00,2023-01-27 14:44:30.733195+00:00,95.81133,3149,True
iRacing,1674826199,rudskogen,Mazda MX-5 Cup,7,2023-01-27 14:49:26.012137+00:00,2023-01-27 14:51:01.830841+00:00,95.8391342,3149,True
iRacing,1674747185,magnycours gp,McLaren MP4-12C GT3,7,2023-01-26 16:49:42.177429+00:00,2023-01-26 16:51:29.871893+00:00,107.710472,4409,True
iRacing,1674747185,magnycours gp,McLaren MP4-12C GT3,4,2023-01-26 16:42:22.408682+00:00,2023-01-26 16:44:11.178364+00:00,108.783638,4409,True
iRacing,1674747185,magnycours gp,McLaren MP4-12C GT3,6,2023-01-26 16:47:53.228182+00:00,2023-01-26 16:49:42.146147+00:00,108.948509,4409,True
iRacing,1674682669,oulton inthislop,Porsche 911 GT3 Cup (992),15,2023-01-25 23:12:52.115907+00:00,2023-01-25 23:14:26.097334+00:00,94.01314,4279,True
iRacing,1674682669,oulton inthislop,Porsche 911 GT3 Cup (992),16,2023-01-25 23:14:26.113704+00:00,2023-01-25 23:16:00.356088+00:00,94.2652359,4279,True
iRacing,1674682669,oulton inthislop,Porsche 911 GT3 Cup (992),11,2023-01-25 23:05:54.996632+00:00,2023-01-25 23:07:29.308510+00:00,94.33224,4279,True
iRacing,1673555858,bathurst,Porsche 911 GT3.R,7,2023-01-12 21:50:23.461755+00:00,2023-01-12 21:52:28.201437+00:00,124.763367,6139,True
iRacing,1673555858,bathurst,Porsche 911 GT3.R,6,2023-01-12 21:48:18.595377+00:00,2023-01-12 21:50:23.447823+00:00,124.877563,6139,True
iRacing,1673555858,bathurst,Porsche 911 GT3.R,8,2023-01-12 21:52:28.224300+00:00,2023-01-12 21:54:33.434838+00:00,125.2435,6139,True
iRacing,1670323745,daytona rallycross short,Legends Ford  34 Coupe,1,2022-12-06 02:49:57.047651+00:00,2022-12-06 02:50:51.571536+00:00,54.54052,1149,True
iRacing,1673743368,charlotte 2018 2019 rallycrosslong,Subaru WRX STI ,10,2023-01-14 19:51:01.451503+00:00,2023-01-14 19:51:46.429510+00:00,45.015625,1339,True
