game,session,track,car,lap,start,end,time,length,valid
iRacing,1670309528,daytona 2011 oval,Chevrolet Silverado,7,2022-12-06 00:59:06.362474+00:00,2022-12-06 00:59:56.337422+00:00,49.9301834,3988,True
iRacing,1670310761,daytona 2011 oval,Chevrolet Silverado,19,2022-12-06 01:35:45.182327+00:00,2022-12-06 01:36:35.207300+00:00,50.0829,3990,True
iRacing,1670309528,daytona 2011 oval,Chevrolet Silverado,5,2022-12-06 00:57:26.072443+00:00,2022-12-06 00:58:16.222799+00:00,50.1427155,3989,True
iRacing,1670309528,daytona 2011 oval,Chevrolet Silverado,6,2022-12-06 00:58:16.227713+00:00,2022-12-06 00:59:06.352492+00:00,50.160717,3989,True
iRacing,1670309528,daytona 2011 oval,Chevrolet Silverado,3,2022-12-06 00:55:44.932256+00:00,2022-12-06 00:56:35.122078+00:00,50.2160835,3989,True
iRacing,1670309528,daytona 2011 oval,Chevrolet Silverado,2,2022-12-06 00:54:54.217308+00:00,2022-12-06 00:55:44.912157+00:00,50.77805,3989,True
iRacing,1670309528,daytona 2011 oval,Chevrolet Silverado,4,2022-12-06 00:56:35.137173+00:00,2022-12-06 00:57:26.057235+00:00,50.9473839,3989,True
Assetto Corsa (64 bit),1670249050,monza:,ks_lamborghini_gallardo_sl,3,2022-12-05 15:09:25.571226+00:00,2022-12-05 15:11:30.881429+00:00,125.396996,5754,True
Assetto Corsa (64 bit),1670249050,monza:,ks_lamborghini_gallardo_sl,2,2022-12-05 15:07:16.481301+00:00,2022-12-05 15:09:25.451466+00:00,129.096008,5758,True
Assetto Corsa (64 bit),1670249050,monza:,ks_lamborghini_gallardo_sl,1,2022-12-05 15:05:06.044476+00:00,2022-12-05 15:07:16.361501+00:00,130.281,5758,True
Assetto Corsa (64 bit),1671630845,ks_silverstone:international,ks_mazda_mx5_cup,3,2022-12-21 14:59:46.348380+00:00,2022-12-21 15:01:06.520052+00:00,80.159996,2943,True
